Order#,Member ID,Comment,Amount,Status,Paid at
68B4F592,CITANZ-0046,Membership extended to 14/10/2025,$60.00,Captured,"Sep 14, 2024, 4:57 PM"
39645DAC,CITANZ-0398,Membership extended to 21/09/2025,$30.00,Captured,"Sep 14, 2024, 1:03 PM"
3810A6BC,CITANZ-0537,Membership extended to 13/09/2025,$30.00,Captured,"Sep 13, 2024, 11:10 PM"
DDCF25B9,CITANZ-0536,Membership extended to 13/09/2025,$30.00,Captured,"Sep 13, 2024, 7:54 PM"
46D471DB,CITANZ-0535,Membership extended to 13/09/2025,$30.00,Captured,"Sep 13, 2024, 4:43 PM"
6D2734BC,CITANZ-0162,Membership extended to 08/10/2025,$60.00,Captured,"Sep 13, 2024, 4:14 PM"
791B7097,CITANZ-0534,Membership extended to 13/09/2025,$30.00,Captured,"Sep 13, 2024, 3:47 PM"
E4EAE12C,CITANZ-0092,Membership extended to 04/10/2025,$60.00,Captured,"Sep 13, 2024, 3:31 PM"
6DE4530C,CITANZ-0397,Membership extended to 21/09/2025,$30.00,Captured,"Sep 13, 2024, 1:22 PM"
D3650394,CITANZ-0533,Membership extended to 12/09/2025,$30.00,Captured,"Sep 12, 2024, 2:35 PM"
53113AC2,CITANZ-0532,Membership extended to 12/09/2025,$30.00,Captured,"Sep 12, 2024, 10:56 AM"
9D4822B7,CITANZ-0399,Membership extended to 21/09/2025,$30.00,Captured,"Sep 12, 2024, 10:55 AM"
61351848,CITANZ-0393,Membership extended to 20/09/2025,$60.00,Captured,"Sep 12, 2024, 9:42 AM"
FB6AADCD,CITANZ-0083,Membership extended to 03/10/2025,$60.00,Captured,"Sep 11, 2024, 11:24 AM"
3520A976,CITANZ-0015,Membership extended to 11/10/2025,$60.00,Captured,"Sep 11, 2024, 9:20 AM"
D7CEB78F,CITANZ-0161,Membership extended to 10/10/2025,$60.00,Captured,"Sep 10, 2024, 3:18 PM"
655B719E,CITANZ-0299,Membership extended to 07/10/2025,$60.00,Captured,"Sep 10, 2024, 2:42 PM"
937DC205,CITANZ-0054,Membership extended to 06/10/2025,$60.00,Captured,"Sep 10, 2024, 9:17 AM"
F26D0F25,CITANZ-0076,Membership extended to 07/10/2025,$60.00,Captured,"Sep 9, 2024, 12:14 PM"
8A9FE356,CITANZ-0260,Membership extended to 03/10/2025,$30.00,Captured,"Sep 9, 2024, 11:37 AM"
4369805D,CITANZ-0178,Membership extended to 03/10/2025,$60.00,Captured,"Sep 8, 2024, 10:17 AM"
29FEE4D5,CITANZ-0531,Membership extended to 07/09/2025,$60.00,Captured,"Sep 7, 2024, 1:40 PM"
2919EEAB,CITANZ-0108,Membership extended to 07/10/2025,$60.00,Captured,"Sep 7, 2024, 9:36 AM"
C6650A0E,CITANZ-0530,Membership extended to 06/09/2025,$30.00,Captured,"Sep 6, 2024, 9:43 PM"
4C818CAF,CITANZ-0529,Membership extended to 06/09/2025,$30.00,Captured,"Sep 6, 2024, 9:34 PM"
C8C2EA86,CITANZ-0381,Membership extended to 06/09/2025,$30.00,Captured,"Sep 6, 2024, 4:09 PM"
FDFA13FE,CITANZ-0085,Membership extended to 03/10/2025,$60.00,Captured,"Sep 6, 2024, 3:13 PM"
496E2182,CITANZ-0042,Membership extended to 03/10/2025,$60.00,Captured,"Sep 6, 2024, 12:04 AM"
791CE477,CITANZ-0528,Membership extended to 05/09/2025,$30.00,Captured,"Sep 5, 2024, 8:03 PM"
369141C4,CITANZ-0205,Membership extended to 04/10/2025,$60.00,Captured,"Sep 5, 2024, 6:34 PM"
DC2E7354,CITANZ-0199,Membership extended to 05/10/2025,$60.00,Captured,"Sep 5, 2024, 11:35 AM"
EBC24EB2,CITANZ-0114,Membership extended to 03/10/2025,$60.00,Captured,"Sep 4, 2024, 11:52 AM"
FE69D4CD,CITANZ-0143,Membership extended to 04/10/2025,$60.00,Captured,"Sep 4, 2024, 8:02 AM"
D1CAA79E,CITANZ-0213,Membership extended to 03/10/2025,$60.00,Captured,"Sep 3, 2024, 7:10 PM"
340FB8EE,CITANZ-0088,Membership extended to 03/10/2025,$60.00,Captured,"Sep 3, 2024, 10:14 AM"
3D15F72B,CITANZ-0131,Membership extended to 03/10/2025,$30.00,Captured,"Sep 3, 2024, 9:20 AM"
6755400E,CITANZ-0010,Membership extended to 03/10/2025,$60.00,Captured,"Sep 3, 2024, 8:18 AM"
91509E9C,CITANZ-0024,Membership extended to 03/10/2025,$60.00,Captured,"Sep 3, 2024, 8:07 AM"
4D76C3D7,CITANZ-0379,Membership extended to 02/09/2025,$30.00,Captured,"Sep 2, 2024, 9:44 AM"
A64D1A57,CITANZ-0394,Membership extended to 20/09/2025,$60.00,Captured,"Sep 2, 2024, 9:37 AM"
2CD9F6DE,CITANZ-0048,Membership extended to 02/09/2025,$60.00,Captured,"Sep 2, 2024, 9:05 AM"
4AD4C093,CITANZ-0388,Membership extended to 29/08/2025,$60.00,Captured,"Aug 29, 2024, 8:10 AM"
F8711F09,CITANZ-0527,Membership extended to 28/08/2025,$30.00,Captured,"Aug 28, 2024, 11:03 AM"
C7BA88DD,CITANZ-0526,Membership extended to 27/08/2025,$30.00,Captured,"Aug 27, 2024, 7:42 PM"
F4E87FB2,CITANZ-0390,Membership extended to 16/09/2025,$30.00,Captured,"Aug 27, 2024, 2:01 PM"
6ECB9E6D,CITANZ-0525,Membership extended to 27/08/2025,$60.00,Captured,"Aug 27, 2024, 9:47 AM"
F43E5722,CITANZ-0524,Membership extended to 26/08/2025,$30.00,Captured,"Aug 26, 2024, 11:19 PM"
210B19A4,CITANZ-0373,Membership extended to 26/08/2025,$60.00,Captured,"Aug 26, 2024, 11:20 AM"
89A4798C,CITANZ-0523,Membership extended to 26/08/2025,$30.00,Captured,"Aug 26, 2024, 11:11 AM"
7EB54B4D,CITANZ-0522,Membership extended to 25/08/2025,$60.00,Captured,"Aug 25, 2024, 7:01 AM"
9C91BEF9,CITANZ-0400,Membership extended to 23/09/2025,$30.00,Captured,"Aug 24, 2024, 11:13 AM"
9CCC45FC,CITANZ-0386,Membership extended to 23/08/2025,$30.00,Captured,"Aug 23, 2024, 8:08 AM"
83E7239D,CITANZ-0521,Membership extended to 21/08/2025,$60.00,Captured,"Aug 21, 2024, 2:17 PM"
7F164ACE,CITANZ-0520,Membership extended to 21/08/2025,$60.00,Captured,"Aug 21, 2024, 10:31 AM"
276CA513,CITANZ-0519,Membership extended to 20/08/2025,$30.00,Captured,"Aug 20, 2024, 8:45 PM"
7CC24FB8,CITANZ-0518,Membership extended to 20/08/2025,$30.00,Captured,"Aug 20, 2024, 8:38 PM"
05569541,CITANZ-0517,Membership extended to 20/08/2025,$30.00,Captured,"Aug 20, 2024, 7:30 PM"
92BF3E7E,CITANZ-0516,Membership extended to 18/08/2025,$30.00,Captured,"Aug 18, 2024, 9:56 PM"
2C1D03C8,CITANZ-0515,Membership extended to 18/08/2025,$60.00,Captured,"Aug 18, 2024, 11:10 AM"
E9A56E92,CITANZ-0385,Membership extended to 18/08/2026,$30.00,Captured,"Aug 18, 2024, 10:42 AM"
C8269C35,CITANZ-0385,Membership extended to 18/08/2025,$30.00,Captured,"Aug 18, 2024, 10:42 AM"
BA817726,CITANZ-0514,Membership extended to 17/08/2025,$30.00,Captured,"Aug 17, 2024, 6:39 PM"
AEDE504B,CITANZ-0513,Membership extended to 16/08/2025,$60.00,Captured,"Aug 16, 2024, 10:14 AM"
5E48BFC1,CITANZ-0512,Membership extended to 12/08/2025,$60.00,Captured,"Aug 12, 2024, 7:48 PM"
0C95976C,CITANZ-0511,Membership extended to 11/08/2025,$30.00,Captured,"Aug 11, 2024, 1:09 PM"
3F56F947,CITANZ-0510,Membership extended to 06/08/2025,$60.00,Captured,"Aug 6, 2024, 2:00 PM"
F94BD6A0,CITANZ-0509,Membership extended to 02/08/2025,$30.00,Captured,"Aug 2, 2024, 11:29 AM"
585F1B08,CITANZ-0508,Membership extended to 01/08/2025,$30.00,Captured,"Aug 1, 2024, 12:02 PM"
B4893342,CITANZ-0507,Membership extended to 31/07/2025,$30.00,Captured,"Jul 31, 2024, 6:56 PM"
ACDB68E3,CITANZ-0506,Membership extended to 30/07/2025,$30.00,Captured,"Jul 30, 2024, 10:09 AM"
A7805124,CITANZ-0505,Membership extended to 28/07/2025,$30.00,Captured,"Jul 28, 2024, 9:01 PM"
2C4A121B,CITANZ-0504,Membership extended to 23/07/2025,$30.00,Captured,"Jul 23, 2024, 2:11 PM"
A9F4AD94,CITANZ-0503,Membership extended to 22/07/2025,$30.00,Captured,"Jul 22, 2024, 4:59 PM"
E9DD3A63,CITANZ-0502,Membership extended to 22/07/2025,$30.00,Captured,"Jul 22, 2024, 4:47 PM"
EBE37FEF,CITANZ-0501,Membership extended to 22/07/2025,$60.00,Captured,"Jul 22, 2024, 2:47 PM"
B0B78AE7,CITANZ-0500,Membership extended to 22/07/2025,$30.00,Captured,"Jul 22, 2024, 1:42 PM"
31F4DB7D,CITANZ-0499,Membership extended to 21/07/2025,$30.00,Captured,"Jul 21, 2024, 5:05 PM"
F96AF778,CITANZ-0498,Membership extended to 21/07/2025,$60.00,Captured,"Jul 21, 2024, 11:00 AM"
87FEA4E2,CITANZ-0383,Membership extended to 13/08/2025,$30.00,Captured,"Jul 20, 2024, 10:03 PM"
A7BFC1F3,CITANZ-0497,Membership extended to 20/07/2025,$60.00,Captured,"Jul 20, 2024, 3:52 AM"
290D9CE3,CITANZ-0496,Membership extended to 17/07/2025,$60.00,Captured,"Jul 17, 2024, 7:20 PM"
05109DCD,CITANZ-0495,Membership extended to 17/07/2025,$30.00,Captured,"Jul 17, 2024, 3:14 PM"
56F7EEA2,CITANZ-0494,Membership extended to 16/07/2025,$30.00,Captured,"Jul 16, 2024, 11:03 PM"
89BF5140,CITANZ-0338,Membership extended to 16/07/2025,$60.00,Captured,"Jul 16, 2024, 9:56 PM"
9B4785FE,CITANZ-0493,Membership extended to 16/07/2025,$30.00,Captured,"Jul 16, 2024, 12:10 PM"
E3553C7B,CITANZ-0384,Membership extended to 15/08/2025,$30.00,Captured,"Jul 16, 2024, 9:17 AM"
D75CB770,CITANZ-0344,Membership extended to 15/07/2025,$30.00,Captured,"Jul 15, 2024, 10:06 AM"
A3DE7F55,CITANZ-0371,Membership extended to 21/07/2025,$30.00,Captured,"Jul 14, 2024, 7:30 PM"
203407AC,CITANZ-0492,Membership extended to 13/07/2025,$30.00,Captured,"Jul 13, 2024, 6:02 PM"
FEBA48E2,CITANZ-0491,Membership extended to 12/07/2025,$60.00,Captured,"Jul 12, 2024, 2:17 PM"
6528CD74,CITANZ-0490,Membership extended to 10/07/2025,$30.00,Captured,"Jul 10, 2024, 9:12 AM"
F3DF8DBF,CITANZ-0376,Membership extended to 31/07/2025,$60.00,Captured,"Jul 9, 2024, 10:49 AM"
5F2361AC,CITANZ-0489,Membership extended to 08/07/2025,$60.00,Captured,"Jul 8, 2024, 12:58 AM"
E90EE2A3,CITANZ-0488,Membership extended to 05/07/2025,$30.00,Captured,"Jul 5, 2024, 5:24 PM"
DE605954,CITANZ-0487,Membership extended to 04/07/2025,$60.00,Captured,"Jul 4, 2024, 6:35 PM"
59D610BD,CITANZ-0486,Membership extended to 01/07/2025,$30.00,Captured,"Jul 1, 2024, 9:51 PM"
51E1BA48,CITANZ-0485,Membership extended to 30/06/2025,$60.00,Captured,"Jun 30, 2024, 1:31 AM"
9E3D82FC,CITANZ-0484,Membership extended to 28/06/2025,$60.00,Captured,"Jun 28, 2024, 11:43 PM"
854198F1,CITANZ-0483,Membership extended to 28/06/2025,$30.00,Captured,"Jun 28, 2024, 9:28 PM"
4B8BF289,CITANZ-0482,Membership extended to 28/06/2025,$60.00,Captured,"Jun 28, 2024, 3:44 PM"
5ACD272E,CITANZ-0355,Membership extended to 20/06/2025,$60.00,Captured,"Jun 20, 2024, 10:12 AM"
DE0DAEC4,CITANZ-0481,Membership extended to 15/06/2025,$60.00,Captured,"Jun 15, 2024, 12:56 PM"
47AA1759,CITANZ-0292,Membership extended to 14/07/2025,$60.00,Captured,"Jun 14, 2024, 10:04 PM"
2C66C3CD,CITANZ-0480,Membership extended to 14/06/2025,$30.00,Captured,"Jun 14, 2024, 10:31 AM"
90478C94,CITANZ-0479,Membership extended to 14/06/2025,$60.00,Captured,"Jun 14, 2024, 10:29 AM"
BD7F1889,CITANZ-0164,Membership extended to 13/06/2025,$30.00,Captured,"Jun 13, 2024, 9:11 PM"
695763B0,CITANZ-0478,Membership extended to 12/06/2025,$30.00,Captured,"Jun 12, 2024, 10:09 PM"
B79F0AEF,CITANZ-0477,Membership extended to 12/06/2025,$30.00,Captured,"Jun 12, 2024, 9:52 PM"
5D8EDFFC,CITANZ-0476,Membership extended to 10/06/2025,$30.00,Captured,"Jun 10, 2024, 9:37 PM"
3161530C,CITANZ-0475,Membership extended to 07/06/2025,$30.00,Captured,"Jun 7, 2024, 4:34 PM"
B1AC96C0,CITANZ-0364,Membership extended to 07/06/2025,$60.00,Captured,"Jun 7, 2024, 2:34 PM"
